DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,AT,2011,185,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,AT,2012,376,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,AT,2013,651,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,AT,2014,623,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,AT,2015,766,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,AT,2016,1028,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,AT,2017,1675,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,AT,2018,1828,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,AT,2019,1810,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,AT,2020,1664,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,AT,2021,1814,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,BE,2011,2134,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,BE,2012,2569,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,BE,2013,2755,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,BE,2014,2615,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,BE,2015,3007,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,BE,2016,2984,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,BE,2017,3156,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,BE,2018,3155,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,BE,2019,3331,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,BE,2020,3156,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,BG,2011,9,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,BG,2012,19,
