DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,AT,2011,135,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,AT,2012,270,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,AT,2013,492,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,AT,2014,495,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,AT,2015,573,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,AT,2016,798,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,AT,2017,1298,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,AT,2018,1420,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,AT,2019,1419,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,AT,2020,1284,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,AT,2021,1359,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,BE,2011,1440,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,BE,2012,1770,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,BE,2013,1917,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,BE,2014,1850,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,BE,2015,2235,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,BE,2016,2222,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,BE,2017,2282,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,BE,2018,2330,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,BE,2019,2513,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,BE,2020,2405,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,BG,2011,3,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,BG,2012,11,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,BG,2013,9,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,BG,2014,5,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,BG,2015,6,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,BG,2016,13,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,BG,2017,8,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE85,F01_F03,TOT_IN,BG,2018,10,
